SchCode,Year,SubgroupCode,GoingCountN,GoingTotalD,GoingRate,CreditCountN,CreditTotalD,CreditRate
103,2013,1,14,23,0.608695652,8,16,0.5
103,2013,2,7,10,0.7,5,9,0.555555556
103,2013,3,2,5,0.4,0,0,-1
103,2013,4,0,0,-1,0,0,-1
103,2013,6,0,0,-1,0,0,-1
103,2013,7,0,0,-1,0,0,-1
103,2013,8,0,0,-1,0,0,-1
103,2013,9,1,1,1,0,0,-1
103,2013,10,4,10,0.4,1,5,0.2
103,2013,11,10,13,0.769230769,7,11,0.636363636
103,2013,16,1,1,1,0,0,-1
103,2013,17,12,21,0.571428571,7,15,0.466666667
103,2013,19,0,0,-1,1,1,1
106,2013,1,274,498,0.550200803,77,185,0.416216216
106,2013,2,144,283,0.508833922,41,97,0.422680412
106,2013,3,6,16,0.375,0,2,0
106,2013,4,30,75,0.4,7,15,0.466666667
106,2013,6,1,2,0.5,1,1,1
106,2013,7,3,5,0.6,0,1,0
106,2013,8,0,0,-1,0,1,0
106,2013,9,1,2,0.5,0,3,0
106,2013,10,112,219,0.511415525,39,81,0.481481481
106,2013,11,162,279,0.580645161,38,104,0.365384615
106,2013,16,216,363,0.595041322,63,141,0.446808511
106,2013,17,40,88,0.454545455,7,27,0.259259259
106,2013,19,13,38,0.342105263,6,11,0.545454545
115,2013,1,113,201,0.562189055,65,124,0.524193548
115,2013,2,54,97,0.556701031,24,49,0.489795918
115,2013,3,11,24,0.458333333,0,9,0
115,2013,4,10,24,0.416666667,5,9,0.555555556
115,2013,6,4,7,0.571428571,0,2,0
115,2013,7,1,5,0.2,0,0,-1
115,2013,8,0,0,-1,0,1,0
115,2013,9,8,15,0.533333333,2,3,0.666666667
115,2013,10,48,99,0.484848485,23,49,0.469387755
115,2013,11,65,102,0.637254902,42,75,0.56
115,2013,16,66,91,0.725274725,51,75,0.68
115,2013,17,27,68,0.397058824,5,22,0.227272727
115,2013,19,7,15,0.466666667,7,21,0.333333333
119,2013,1,244,285,0.856140351,114,160,0.7125
119,2013,2,40,49,0.816326531,20,30,0.666666667
119,2013,3,12,20,0.6,5,14,0.357142857
119,2013,4,8,10,0.8,7,9,0.777777778
119,2013,6,1,2,0.5,0,0,-1
119,2013,7,7,10,0.7,1,1,1
119,2013,8,1,1,1,0,0,-1
119,2013,9,30,36,0.833333333,4,7,0.571428571
119,2013,10,123,149,0.825503356,47,73,0.643835616
119,2013,11,121,136,0.889705882,67,87,0.770114943
119,2013,16,183,205,0.892682927,78,105,0.742857143
119,2013,17,22,31,0.709677419,9,13,0.692307692
119,2013,19,0,0,-1,22,34,0.647058824
138,2013,1,260,356,0.730337079,135,206,0.655339806
138,2013,2,151,195,0.774358974,74,105,0.704761905
138,2013,3,15,24,0.625,3,14,0.214285714
138,2013,4,36,46,0.782608696,24,34,0.705882353
138,2013,6,3,4,0.75,1,2,0.5
138,2013,7,10,11,0.909090909,0,2,0
138,2013,8,0,0,-1,0,0,-1
138,2013,9,10,14,0.714285714,2,6,0.333333333
138,2013,10,124,178,0.696629213,73,110,0.663636364
138,2013,11,136,178,0.764044944,62,96,0.645833333
138,2013,16,213,268,0.794776119,111,155,0.716129032
138,2013,17,24,59,0.406779661,2,12,0.166666667
138,2013,19,0,0,-1,19,29,0.655172414
146,2013,1,268,359,0.746518106,127,199,0.638190955
146,2013,2,82,117,0.700854701,34,59,0.576271186
146,2013,3,15,27,0.555555556,1,2,0.5
146,2013,4,15,21,0.714285714,10,13,0.769230769
146,2013,6,4,5,0.8,0,0,-1
146,2013,7,2,3,0.666666667,1,2,0.5
146,2013,8,0,1,0,0,0,-1
146,2013,9,12,23,0.52173913,7,10,0.7
146,2013,10,151,213,0.708920188,58,102,0.568627451
146,2013,11,117,146,0.801369863,69,97,0.711340206
146,2013,16,205,239,0.857740586,95,136,0.698529412
146,2013,17,45,88,0.511363636,8,24,0.333333333
146,2013,19,0,0,-1,16,27,0.592592593
154,2013,1,169,209,0.80861244,57,119,0.478991597
154,2013,2,26,27,0.962962963,8,19,0.421052632
154,2013,3,9,16,0.5625,2,9,0.222222222
154,2013,4,5,9,0.555555556,1,2,0.5
154,2013,6,4,6,0.666666667,0,0,-1
154,2013,7,6,10,0.6,1,2,0.5
154,2013,8,0,0,-1,0,1,0
154,2013,9,25,39,0.641025641,8,30,0.266666667
154,2013,10,98,124,0.790322581,30,65,0.461538462
154,2013,11,71,85,0.835294118,27,54,0.5
154,2013,16,81,92,0.880434783,33,51,0.647058824
154,2013,17,37,43,0.860465116,5,16,0.3125
154,2013,19,16,19,0.842105263,10,19,0.526315789
202,2013,1,161,267,0.602996255,66,118,0.559322034
202,2013,2,49,105,0.466666667,17,30,0.566666667
202,2013,3,10,22,0.454545455,0,3,0
202,2013,4,2,16,0.125,4,4,1
202,2013,6,4,10,0.4,0,0,-1
202,2013,7,2,5,0.4,0,1,0
202,2013,8,1,1,1,0,0,-1
202,2013,9,15,23,0.652173913,3,6,0.5
202,2013,10,84,131,0.641221374,39,71,0.549295775
202,2013,11,77,136,0.566176471,27,47,0.574468085
