SchCode,Year,SubgroupCode,GradeCode,SubjectCode,NbrActiveTested,NbrActive,PctTested,WellBelowProf,ApproachingProf,MeetsProf,ExceedsProf,NbrMeetsExceedsProf,NbrAllProf,PctProf
100,2011,1,3,R,102,102,1,4,12,26,60,86,102,0.843137255
100,2011,1,4,R,112,112,1,10,8,25,69,94,112,0.839285714
100,2011,1,5,M,110,110,1,16,29,36,29,65,110,0.590909091
100,2011,1,5,R,110,110,1,11,16,29,54,83,110,0.754545455
100,2011,1,3,M,102,102,1,7,19,49,27,76,102,0.745098039
100,2011,1,4,M,112,112,1,9,14,59,30,89,112,0.794642857
100,2012,1,4,M,102,102,1,3,11,49,39,88,102,0.862745098
100,2012,1,4,R,102,102,1,4,10,12,76,88,102,0.862745098
100,2012,1,3,R,122,122,1,3,14,23,82,105,122,0.860655738
100,2012,1,5,R,111,111,1,8,13,34,56,90,111,0.810810811
100,2012,1,5,M,111,111,1,8,14,57,32,89,111,0.801801802
100,2012,1,3,M,122,122,1,8,12,59,43,102,122,0.836065574
100,2012,1,4,S,0,0,-1,1,19,56,26,82,102,0.803921569
100,2013,14,99,S,0,0,-1,0,0,0,0,0,0,-1
100,2013,2,99,S,17,17,1,0,7,7,3,10,17,0.588235294
100,2013,4,99,R,4,4,1,1,3,0,0,0,4,0
100,2013,4,99,M,4,4,1,3,1,0,0,0,4,0
100,2013,3,99,R,35,35,1,12,15,6,2,8,35,0.228571429
100,2013,3,99,M,35,35,1,11,19,5,0,5,35,0.142857143
100,2013,2,99,R,35,35,1,4,4,15,12,27,35,0.771428571
100,2013,2,99,M,35,35,1,1,13,16,5,21,35,0.6
100,2013,1,99,R,299,299,1,15,27,66,191,257,299,0.859531773
100,2013,1,99,M,299,299,1,12,52,136,99,235,299,0.785953177
100,2013,18,99,S,18,18,1,0,7,8,3,11,18,0.611111111
100,2013,17,99,S,1,1,1,0,1,0,0,0,1,0
100,2013,5,99,R,245,245,1,13,23,53,156,209,245,0.853061224
100,2013,15,99,S,13,13,1,1,8,4,0,4,13,0.307692308
100,2013,6,99,M,2,2,1,0,1,1,0,1,2,0.5
100,2013,13,99,S,3,3,1,1,1,1,0,1,3,0.333333333
100,2013,12,99,S,0,0,-1,0,0,0,0,0,0,-1
100,2013,11,99,S,60,60,1,0,12,26,22,48,60,0.8
100,2013,10,99,S,56,56,1,2,8,31,15,46,56,0.821428571
100,2013,9,99,S,16,16,1,0,2,12,2,14,16,0.875
100,2013,8,99,S,0,0,-1,0,0,0,0,0,0,-1
100,2013,7,99,S,2,2,1,0,0,1,1,2,2,1
100,2013,6,99,S,1,1,1,0,0,1,0,1,1,1
100,2013,5,99,S,97,97,1,2,18,43,34,77,97,0.793814433
100,2013,4,99,S,2,2,1,1,0,1,0,1,2,0.5
100,2013,3,99,S,11,11,1,1,8,2,0,2,11,0.181818182
100,2013,16,99,S,72,72,1,2,9,33,28,61,72,0.847222222
100,2013,12,99,M,0,0,-1,0,0,0,0,0,0,-1
100,2013,18,99,R,52,52,1,6,5,20,21,41,52,0.788461538
100,2013,18,99,M,52,52,1,2,18,24,8,32,52,0.615384615
100,2013,17,99,R,2,2,1,0,1,1,0,1,2,0.5
100,2013,17,99,M,2,2,1,1,1,0,0,0,2,0
100,2013,16,99,R,169,169,1,6,13,28,122,150,169,0.887573964
100,2013,16,99,M,169,169,1,8,19,72,70,142,169,0.840236686
100,2013,15,99,R,37,37,1,12,16,7,2,9,37,0.243243243
100,2013,15,99,M,37,37,1,11,21,5,0,5,37,0.135135135
100,2013,14,99,R,1,1,1,1,0,0,0,0,1,0
100,2013,14,99,M,1,1,1,1,0,0,0,0,1,0
100,2013,13,99,R,11,11,1,1,5,2,3,5,11,0.454545455
100,2013,5,99,M,245,245,1,12,43,103,87,190,245,0.775510204
100,2013,12,99,R,0,0,-1,0,0,0,0,0,0,-1
100,2013,1,99,S,116,116,1,2,20,57,37,94,116,0.810344828
100,2013,11,99,R,168,168,1,4,12,42,110,152,168,0.904761905
100,2013,11,99,M,168,168,1,3,33,84,48,132,168,0.785714286
100,2013,10,99,R,131,131,1,11,15,24,81,105,131,0.801526718
100,2013,10,99,M,131,131,1,9,19,52,51,103,131,0.786259542
100,2013,9,99,R,43,43,1,2,3,11,27,38,43,0.88372093
100,2013,9,99,M,43,43,1,0,8,26,9,35,43,0.813953488
100,2013,8,99,R,0,0,-1,0,0,0,0,0,0,-1
100,2013,8,99,M,0,0,-1,0,0,0,0,0,0,-1
100,2013,7,99,R,9,9,1,0,0,2,7,9,9,1
100,2013,7,99,M,9,9,1,0,0,6,3,9,9,1
100,2013,6,99,R,2,2,1,0,1,0,1,1,2,0.5
100,2013,13,99,M,11,11,1,4,3,3,1,4,11,0.363636364
100,2013,1,3,M,84,84,1,5,16,37,26,63,84,0.75
100,2013,1,3,R,84,84,1,5,7,18,54,72,84,0.857142857
100,2013,1,4,M,116,116,1,3,19,51,43,94,116,0.810344828
100,2013,1,4,R,116,116,1,8,9,21,78,99,116,0.853448276
100,2013,1,4,S,116,116,1,2,20,57,37,94,116,0.810344828
100,2013,1,5,M,99,99,1,4,17,48,30,78,99,0.787878788
100,2013,1,5,R,99,99,1,2,11,27,59,86,99,0.868686869
101,2011,1,5,R,81,81,1,8,15,27,31,58,81,0.716049383
101,2011,1,4,M,63,63,1,9,14,24,16,40,63,0.634920635
101,2011,1,4,R,63,63,1,6,14,22,21,43,63,0.682539683
101,2011,1,3,R,62,62,1,4,13,16,29,45,62,0.725806452
101,2011,1,5,M,81,81,1,12,12,36,21,57,81,0.703703704
101,2011,1,3,M,62,62,1,4,8,37,13,50,62,0.806451613
101,2012,1,5,M,70,70,1,11,10,30,19,49,70,0.7
101,2012,1,4,R,66,66,1,10,15,16,25,41,66,0.621212121
101,2012,1,3,M,92,92,1,7,21,34,30,64,92,0.695652174
101,2012,1,3,R,92,92,1,10,18,23,41,64,92,0.695652174
101,2012,1,4,M,66,66,1,8,20,27,11,38,66,0.575757576
101,2012,1,5,R,70,70,1,8,11,26,25,51,70,0.728571429
101,2012,1,4,S,0,0,-1,11,25,23,7,30,66,0.454545455
101,2013,17,99,M,32,32,1,7,10,13,2,15,32,0.46875
101,2013,13,99,R,105,105,1,13,29,31,32,63,105,0.6
101,2013,4,99,S,8,8,1,1,6,1,0,1,8,0.125
101,2013,3,99,S,6,7,0.857142857,3,2,1,0,1,6,0.166666667
101,2013,2,99,S,41,41,1,4,18,17,2,19,41,0.463414634
101,2013,1,99,S,80,81,0.987654321,5,30,34,11,45,80,0.5625
101,2013,18,99,R,33,33,1,5,7,11,10,21,33,0.636363636
101,2013,7,99,S,6,6,1,0,1,4,1,5,6,0.833333333
101,2013,17,99,R,32,32,1,4,10,10,8,18,32,0.5625
101,2013,8,99,S,0,0,-1,0,0,0,0,0,0,-1
101,2013,16,99,R,126,126,1,9,22,36,59,95,126,0.753968254
101,2013,16,99,M,126,126,1,6,24,54,42,96,126,0.761904762
101,2013,15,99,R,23,23,1,14,3,4,2,6,23,0.260869565
101,2013,15,99,M,22,23,0.956521739,9,8,4,1,5,22,0.227272727
101,2013,14,99,R,3,3,1,0,1,2,0,2,3,0.666666667
101,2013,14,99,M,3,3,1,0,3,0,0,0,3,0
101,2013,18,99,M,33,33,1,2,10,17,4,21,33,0.636363636
101,2013,15,99,S,6,7,0.857142857,3,2,1,0,1,6,0.166666667
101,2013,3,99,M,21,22,0.954545455,9,7,4,1,5,21,0.238095238
101,2013,2,99,R,156,156,1,21,32,53,50,103,156,0.66025641
101,2013,2,99,M,156,156,1,14,39,75,28,103,156,0.66025641
101,2013,1,99,R,240,240,1,26,44,72,98,170,240,0.708333333
101,2013,1,99,M,238,240,0.991666667,19,52,109,58,167,238,0.701680672
101,2013,12,99,S,0,0,-1,0,0,0,0,0,0,-1
101,2013,6,99,S,1,1,1,0,0,1,0,1,1,1
101,2013,14,99,S,2,2,1,0,1,1,0,1,2,0.5
101,2013,5,99,S,69,69,1,5,27,28,9,37,69,0.536231884
101,2013,16,99,S,41,41,1,2,12,19,8,27,41,0.658536585
101,2013,17,99,S,11,11,1,1,8,2,0,2,11,0.181818182
101,2013,18,99,S,13,13,1,2,4,7,0,7,13,0.538461538
101,2013,11,99,S,35,36,0.972222222,1,13,16,5,21,35,0.6
101,2013,10,99,S,45,45,1,4,17,18,6,24,45,0.533333333
