SchCode,Year,CountOfSSN,SumOfFTE,TeachersFullyLicCnt,TeachersProvCredCnt,TeachersEmgcyCredCnt,TeachersRegSum,TeachersHeadCnt,TeachersAdminSum,TeacherSupSum,TeacherSpedSum,TeachersMiscSum,TeachersCounsSum,TeachersLibrSum,TeachersFullyLicPct,TeachersProvCredPct,TeachersEmgcyCredPct,TeachersRegPct,TeachersHeadPct,TeachersAdminPct,TeachersSupPct,TeachersSpedPct,TeachersMiscPct,TeachersCounsPct,TeachersLibrPct,AvgTerm,AvgAge,MasterCnt,DoctorCnt,ClassesTaughtByNotHQT,TotalClassPeriods,ClassesTaughtByHQTPct,ClassesNotTaughtBYHQTPct,TotalTerm,RosterCount,RegularRatio,SPEDRatio,Staff5Years,PrincipalCount,TotalofPeriods,TotofPeriodsNotTaughtbyHQV6Z,ClassNotTaughtbyHQTchrs
"100","2013",45,38.5,37,0,2,32.5,39,3,0,6,0,2,1,.94871795,0,.05128205,.84415584,.86666667,.07792208,0,.15584416,0,.05194805,.02597403,14.289744,0,12,0,0,0,0,0,557.3,39,17.538462,7,22,1,157,13,.08280255
"101","2013",36,29,30,0,0,22,30,3,1,6,0,2,1,1,0,0,.75862069,.83333333,.10344828,.03448276,.20689655,0,.06896552,.03448276,16.51,0,10,0,0,0,0,0,495.3,30,19.545455,6.1666667,20,2,100,0,0
"102","2013",22,17.5,18,0,0,13.5,18,2,0,4,0,1,1,1,0,0,.77142857,.81818182,.11428571,0,.22857143,0,.05714286,.05714286,14.816667,0,9,0,0,0,0,0,266.7,18,16.518519,6.25,13,1,87,0,0
"103","2013",31,23,23,0,0,20,23,5,1,2,0,2,1,1,0,0,.86956522,.74193548,.2173913,.04347826,.08695652,0,.08695652,.04347826,12.243478,0,8,0,0,0,0,0,281.6,23,17.75,9.5,14,1,96,24,.25
"104","2013",32,23,23,0,0,16,23,6,1,6,0,2,1,1,0,0,.69565217,.71875,.26086957,.04347826,.26086957,0,.08695652,.04347826,15.069565,0,4,1,0,0,0,0,346.6,23,18.6875,5.8333333,17,2,83,0,0
"105","2013",56,46,45,0,1,36,46,7,2,8,0,2,1,.97826087,0,.02173913,.7826087,.82142857,.15217391,.04347826,.17391304,0,.04347826,.02173913,12.980435,0,12,0,0,0,0,0,597.1,46,19.833333,11.875,27,2,156,11,.07051282
"106","2013",161,135,134,0,1,105,135,13,12,18,2,10,1,.99259259,0,.00740741,.77777778,.83850932,.0962963,.08888889,.13333333,.01481481,.07407407,.00740741,15.360741,0,52,1,0,0,0,0,2073.7,135,20.904762,13.444444,98,2,306,14,.04575163
"107","2013",38,33.5,33,0,1,29.5,34,3,0,4,0,1,0,.97058824,0,.02941176,.88059701,.89473684,.08955224,0,.11940299,0,.02985075,0,10.426471,0,13,0,0,0,0,0,354.5,34,16.20339,8,17,2,120,0,0
"108","2013",33,28.5,29,0,0,25,29,3,.5,3,0,1,0,1,0,0,.87719298,.87878788,.10526316,.01754386,.10526316,0,.03508772,0,13.175862,0,8,0,0,0,0,0,382.1,29,19.6,7.3333333,18,1,88,0,0
"109","2013",23,18.5,19,0,0,17,19,2,.5,1,0,1,1,1,0,0,.91891892,.82608696,.10810811,.02702703,.05405405,0,.05405405,.05405405,15.636842,0,2,1,0,0,0,0,297.1,19,20.823529,8,15,3,91,0,0
