School ID,Year,School Name,School Type for Strive HI,Title I,Complex Area,Strive HI Step,Final Index Score,Math Proficiency (%),Math Participation Penalty?,Math Proficiency - Pooled Data?,Reading Proficiency (%),Reading Participation Penalty?,Reading Proficiency - Pooled Data?,Science Proficiency (%),Science Proficiency - Pooled Data?,Math Median SGP,Math SGP - Used Pooled Data,Reading Median SGP,Reading SGP - Pooled Data?,Chronic Absenteeism (%),Median 8th Grade EXPLORE,Pct. Scoring at or above 19 on 11th grade ACT (%),Graduation Rate Used for 2012 HS Readiness Calculation (%),Graduation Rate - Pooled Data?,Class of 2011 16-month College Enrollment Rate (%),2012-13 Non High-Needs Proficiency (%),2012-13 High-Needs Proficiency (%),Current Gap Rate (%),2010-11 Non High-Needs Proficiency (%),2010-11 High-Needs Proficiency (%),2010-11 Gap Rate (%),"Two-Year Gap Reduction Rate (%) 
(negative numbers indicate gap has grown)",Used Achievement Gap Exemption in 2012-13,2010-11 All Students Graduation Rate (%),2011-12 All Students Graduation Rate (%),2010-11 High-Needs Graduation Rate (%),2011-12 High-Needs Graduation Rate (%),2010-11 Non High-Needs Graduation Rate (%),2011-12 Non High-Needs Graduation Rate (%),2013 Graduation Rate Gap (%),Automatic Classification Reason,**Data will be Suppressed for Student Privacy
100,2013,Aina Haina Elementary,Elementary,No,Farrington-Kaiser-Kalani,Continuous Improvement,255,80,,,87,,,81,,53,,57,,8,,,,,,93,48,49,90,43,52,6,,,,,,,,,None,
101,2013,Ala Wai Elementary,Elementary,Yes,Kaimuki-McKinley-Roosevelt,Continuous Improvement,303,71,,,72,,,57,,62,,60,,17,,,,,,84,65,23,93,67,28,21,,,,,,,,,None,
102,2013,Aliiolani Elementary,Elementary,Yes,Kaimuki-McKinley-Roosevelt,Continuous Improvement,278,82,,,89,,,70,,60,,54,,10,,,,,,96,77,20,90,71,21,6,Yes,,,,,,,,None,
107,2013,Fern Elementary,Elementary,Yes,Farrington-Kaiser-Kalani,Continuous Improvement,174,56,,,62,,,24,,55,,49,,20,,,,,,83,56,32,74,51,32,-3,,,,,,,,,None,
108,2013,Hahaione Elementary,Elementary,No,Farrington-Kaiser-Kalani,Continuous Improvement,352,87,,,91,,,81,,64,,59,,8,,,,,,96,60,38,93,53,43,12,,,,,,,,,None,
109,2013,Hokulani Elementary,Elementary,No,Kaimuki-McKinley-Roosevelt,Recognition,360,94,,,96,,,89,,66,,56,,6,,,,,,96,87,10,90,68,25,61,,,,,,,,,High Performance,
111,2013,Jefferson Elementary,Elementary,Yes,Kaimuki-McKinley-Roosevelt,Continuous Improvement,316,69,,,72,,,39,,79,,72,,20,,,,,,88,64,27,92,64,31,14,,,,,,,,,None,
112,2013,Kaahumanu Elementary,Elementary,Yes,Kaimuki-McKinley-Roosevelt,Continuous Improvement,224,62,,,68,,,35,,50,,57,,18,,,,,,84,57,32,78,53,32,0,,,,,,,,,None,
113,2013,Kaewai Elementary,Elementary,Yes,Farrington-Kaiser-Kalani,Continuous Improvement,249,52,,,52,,,38,,74,,52,,31,,,,,,97,48,,68,44,,,,,,,,,,,None,
114,2013,Kahala Elementary,Elementary,No,Farrington-Kaiser-Kalani,Continuous Improvement,229,72,,,87,,,43,,49,,54,,9,,,,,,86,62,28,96,62,36,23,,,,,,,,,None,
117,2013,Kaiulani Elementary,Elementary,Yes,Kaimuki-McKinley-Roosevelt,Continuous Improvement,166,58,,,58,,,17,,50,,46,,20,,,,,,83,55,,88,55,37,,,,,,,,,,None,
120,2013,Kalihi Elementary,Elementary,Yes,Farrington-Kaiser-Kalani,Continuous Improvement,211,55,,,64,,,5,,62,,54,,27,,,,,,84,56,,89,38,,,,,,,,,,,None,Yes
121,2013,Kalihi_kai Elementary,Elementary,Yes,Farrington-Kaiser-Kalani,Priority,84,41,,,51,,,28,,37,,43,,11,,,,,,73,39,46,63,40,36,-27,,,,,,,,,Low Performance,
122,2013,Kalihi_uka Elementary,Elementary,Yes,Farrington-Kaiser-Kalani,Recognition,353,72,,,75,,,53,,76,,62,,14,,,,,,87,68,21,80,55,31,33,,,,,,,,,Significant Progress,
