series_name,e_nf@hi.a,empl@hi.a,ur@hi.a,nr@hi.a,y@hi.a,inf@hon.a,y_r@hi.a,ypc_r@hi.a,ys_r@hi.a,vis@hi.a,visus@hi.a,visjp@hi.a,visres@hi.a,vlos@hi.a,vday@hi.a,prm@hi.a,ocup%@hi.a,vexp@hi.a,e_nf@hon.a,empl@hon.a,ur@hon.a,nr@hon.a,y@hon.a,inf@hon.a,y_r@hon.a,ypc_r@hon.a,ys_r@hon.a,vis@hon.a,visus@hon.a,visjp@hon.a,visres@hon.a,vlos@hon.a,vday@hon.a,prm@hon.a,ocup%@hon.a,vexp@hon.a,e_nf@mau.a,empl@mau.a,ur@mau.a,nr@mau.a,y@mau.a,inf@hon.a,y_r@mau.a,ypc_r@mau.a,ys_r@mau.a,vis@mau.a,visus@mau.a,visjp@mau.a,visres@mau.a,vlos@mau.a,vday@mau.a,prm@mau.a,ocup%@mau.a,vexp@mau.a,e_nf@kau.a,empl@kau.a,ur@kau.a,nr@kau.a,y@kau.a,inf@hon.a,y_r@kau.a,ypc_r@kau.a,ys_r@kau.a,vis@kau.a,visus@kau.a,visjp@kau.a,visres@kau.a,vlos@kau.a,vday@kau.a,prm@kau.a,ocup%@kau.a,vexp@kau.a,e_nf@haw.a,empl@haw.a,ur@haw.a,nr@haw.a,y@haw.a,inf@hon.a,y_r@haw.a,ypc_r@haw.a,ys_r@haw.a,vis@haw.a,visus@haw.a,visjp@haw.a,visres@haw.a,vlos@haw.a,vday@haw.a,prm@haw.a,ocup%@haw.a,vexp@haw.a
display_name,TOTAL NONFARM JOBS,EMPLOYMENT,UNEMPLOYMENT RATE,RESIDENT POPULATION,PERSONAL INCOME,INFLATION (HONOLULU CPI),PERSONAL INCOME IN 82-84 DOLLARS,PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS,GROSS PRODUCT BY PLACE OF WORK IN 82-84 DOLLARS,TOTAL VISITOR ARRIVALS,US VISITOR ARRIVALS,JAPANESE VISITOR ARRIVALS,NON-US & NON-JP VISITOR ARRIVALS,LENGTH OF STAY,VISITOR DAYS,AVERAGE DAILY ROOM RATE,HOTEL OCCUPANCY RATE,TOTAL EXPENDITURES,TOTAL NONFARM JOBS,EMPLOYMENT,UNEMPLOYMENT RATE,RESIDENT POPULATION,PERSONAL INCOME,INFLATION (HONOLULU CPI),PERSONAL INCOME IN 82-84 DOLLARS,PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS,#VALUE!,TOTAL VISITOR ARRIVALS,US VISITOR ARRIVALS,JAPANESE VISITOR ARRIVALS,NON-US & NON-JP VISITOR ARRIVALS,LENGTH OF STAY,VISITOR DAYS,AVERAGE DAILY ROOM RATE,HOTEL OCCUPANCY RATE,TOTAL EXPENDITURES,TOTAL NONFARM JOBS,EMPLOYMENT,UNEMPLOYMENT RATE,RESIDENT POPULATION,PERSONAL INCOME,INFLATION (HONOLULU CPI),PERSONAL INCOME IN 82-84 DOLLARS,PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS,#VALUE!,TOTAL VISITOR ARRIVALS,US VISITOR ARRIVALS,JAPANESE VISITOR ARRIVALS,NON-US & NON-JP VISITOR ARRIVALS,LENGTH OF STAY,VISITOR DAYS,AVERAGE DAILY ROOM RATE,HOTEL OCCUPANCY RATE,TOTAL EXPENDITURES,TOTAL NONFARM JOBS,EMPLOYMENT,UNEMPLOYMENT RATE,RESIDENT POPULATION,PERSONAL INCOME,INFLATION (HONOLULU CPI),PERSONAL INCOME IN 82-84 DOLLARS,PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS,#VALUE!,TOTAL VISITOR ARRIVALS,US VISITOR ARRIVALS,JAPANESE VISITOR ARRIVALS,NON-US & NON-JP VISITOR ARRIVALS,LENGTH OF STAY,VISITOR DAYS,AVERAGE DAILY ROOM RATE,HOTEL OCCUPANCY RATE,TOTAL EXPENDITURES,TOTAL NONFARM JOBS,EMPLOYMENT,UNEMPLOYMENT RATE,RESIDENT POPULATION,PERSONAL INCOME,INFLATION (HONOLULU CPI),PERSONAL INCOME IN 82-84 DOLLARS,PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS,#VALUE!,TOTAL VISITOR ARRIVALS,US VISITOR ARRIVALS,JAPANESE VISITOR ARRIVALS,NON-US & NON-JP VISITOR ARRIVALS,LENGTH OF STAY,VISITOR DAYS,AVERAGE DAILY ROOM RATE,HOTEL OCCUPANCY RATE,TOTAL EXPENDITURES
category,Employment,Employment,Employment,Population,Income,Inflation,Income,Income,Income,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Employment,Employment,Employment,Population,Income,Inflation,Income,Income,Income,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Employment,Employment,Employment,Population,Income,Inflation,Income,Income,Income,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Employment,Employment,Employment,Population,Income,Inflation,Income,Income,Income,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Employment,Employment,Employment,Population,Income,Inflation,Income,Income,Income,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor,Visitor
primary,Primary,Secondary,Secondary,Primary,Primary,Primary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Primary,Primary,Primary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Primary,Primary,Primary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Primary,Primary,Primary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Primary,Primary,Primary,Secondary,Secondary,Secondary,Primary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary,Secondary
geo,State,State,State,State,State,State,State,State,State,State,State,State,State,State,State,State,State,State,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,HON,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,MAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,KAU,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW,HAW
full_name,"TOTAL NONFARM JOBS, STATEWIDE","EMPLOYMENT, STATEWIDE","UNEMPLOYMENT RATE, STATEWIDE","RESIDENT POPULATION, STATE OF HAWAII","PERSONAL INCOME, STATE OF HAWAII","INFLATION (HONOLULU CPI), HONOLULU COUNTY","PERSONAL INCOME IN 82-84 DOLLARS, STATE OF HAWAII","PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS, STATE OF HAWAII, ST","GROSS PRODUCT BY PLACE OF WORK IN 82-84 DOLLARS, STATE OF HAWAII","TOTAL VISITOR ARRIVALS, STATE OF HAWAII","US VISITOR ARRIVALS, STATE OF HAWAII","JAPANESE VISITOR ARRIVALS, STATE OF HAWAII","NON-US & NON-JP VISITOR ARRIVALS, STATE OF HAWAII","LENGTH OF STAY, STATE OF HAWAII","VISITOR DAYS, STATE OF HAWAII","AVERAGE DAILY ROOM RATE, STATE OF HAWAII","HOTEL OCCUPANCY RATE, STATE OF HAWAII","TOTAL EXPENDITURES, STATE OF HAWAII","TOTAL NONFARM JOBS, HONOLULU COUNTY","EMPLOYMENT, HONOLULU COUNTY","UNEMPLOYMENT RATE, HONOLULU COUNTY","RESIDENT POPULATION, HONOLULU COUNTY","PERSONAL INCOME, HONOLULU COUNTY","INFLATION (HONOLULU CPI), HONOLULU COUNTY","PERSONAL INCOME IN 82-84 DOLLARS, HONOLULU COUNTY","PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS, HONOLULU COUNTY, HO",undefined,"TOTAL VISITOR ARRIVALS, HONOLULU COUNTY","US VISITOR ARRIVALS, HONOLULU COUNTY","JAPANESE VISITOR ARRIVALS, HONOLULU COUNTY","NON-US & NON-JP VISITOR ARRIVALS, HONOLULU COUNTY","LENGTH OF STAY, HONOLULU COUNTY","VISITOR DAYS, HONOLULU COUNTY","AVERAGE DAILY ROOM RATE, HONOLULU COUNTY","HOTEL OCCUPANCY RATE, HONOLULU COUNTY","TOTAL EXPENDITURES, HONOLULU COUNTY","TOTAL NONFARM JOBS, MAUI COUNTY","EMPLOYMENT, MAUI COUNTY","UNEMPLOYMENT RATE, MAUI COUNTY","RESIDENT POPULATION, MAUI COUNTY","PERSONAL INCOME, MAUI COUNTY","INFLATION (HONOLULU CPI), HONOLULU COUNTY","PERSONAL INCOME IN 82-84 DOLLARS, MAUI COUNTY","PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS, MAUI COUNTY, MAUI C",undefined,"TOTAL VISITOR ARRIVALS, MAUI COUNTY","US VISITOR ARRIVALS, MAUI COUNTY","JAPANESE VISITOR ARRIVALS, MAUI COUNTY","NON-US & NON-JP VISITOR ARRIVALS, MAUI COUNTY","LENGTH OF STAY, MAUI COUNTY","VISITOR DAYS, MAUI COUNTY","AVERAGE DAILY ROOM RATE, MAUI COUNTY","HOTEL OCCUPANCY RATE, MAUI COUNTY","TOTAL EXPENDITURES, MAUI COUNTY","TOTAL NONFARM JOBS, KAUAI COUNTY","EMPLOYMENT, KAUAI COUNTY","UNEMPLOYMENT RATE, KAUAI COUNTY","RESIDENT POPULATION, KAUAI COUNTY","PERSONAL INCOME, KAUAI COUNTY","INFLATION (HONOLULU CPI), HONOLULU COUNTY","PERSONAL INCOME IN 82-84 DOLLARS, KAUAI COUNTY","PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS, KAUAI COUNTY, KAUAI",undefined,"TOTAL VISITOR ARRIVALS, KAUAI COUNTY","US VISITOR ARRIVALS, KAUAI COUNTY","JAPANESE VISITOR ARRIVALS, KAUAI COUNTY","NON-US & NON-JP VISITOR ARRIVALS, KAUAI COUNTY","LENGTH OF STAY, KAUAI COUNTY","VISITOR DAYS, KAUAI COUNTY","AVERAGE DAILY ROOM RATE, KAUAI COUNTY","HOTEL OCCUPANCY RATE, KAUAI COUNTY","TOTAL EXPENDITURES, KAUAI COUNTY","TOTAL NONFARM JOBS, HAWAII COUNTY","EMPLOYMENT, HAWAII COUNTY","UNEMPLOYMENT RATE, HAWAII COUNTY","RESIDENT POPULATION, HAWAII COUNTY","PERSONAL INCOME, HAWAII COUNTY","INFLATION (HONOLULU CPI), HONOLULU COUNTY","PERSONAL INCOME IN 82-84 DOLLARS, HAWAII COUNTY","PER CAPITA PERSONAL INCOME IN 82-84 DOLLARS, HAWAII COUNTY, HAWA",undefined,"TOTAL VISITOR ARRIVALS, HAWAII COUNTY","US VISITOR ARRIVALS, HAWAII COUNTY","JAPANESE VISITOR ARRIVALS, HAWAII COUNTY","NON-US & NON-JP VISITOR ARRIVALS, HAWAII COUNTY","LENGTH OF STAY, HAWAII COUNTY","VISITOR DAYS, HAWAII COUNTY","AVERAGE DAILY ROOM RATE, HAWAII COUNTY","HOTEL OCCUPANCY RATE, HAWAII COUNTY","TOTAL EXPENDITURES, HAWAII COUNTY"
1/1/1950,,,,497.98,790965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1951,,,,514.256,926770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1952,,,,517.378,1022518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1953,,,,509.947,1061261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/1954,,,,505.461,1071414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
