tract_id,Tract,pop,County,Total_units,Vacant,BLT_After2010,BLT_2000_2009,BLT_1990_1999,BLT_1980_1989,BLT_1970_1979,BLT_1960_1969,BLT_1950_1959,BLT_1940_1949,BLT_Before1939,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
15001020100,201,5213,Hawaii County,2078,252,0,176,143,303,473,272,222,188,301,1208,618,594,312,228,74,331,26,215,46
15001020202,202.02,2568,Hawaii County,717,38,4,41,73,84,198,58,100,50,109,503,176,188,183,118,14,67,38,33,38
15001020300,203,3934,Hawaii County,2026,317,7,27,117,313,556,359,220,210,217,527,1182,303,162,62,0,641,316,142,83
15001020400,204,3294,Hawaii County,1563,164,0,141,344,171,383,129,211,87,97,503,896,325,104,59,15,400,203,248,45
15001020500,205,5924,Hawaii County,2612,355,0,52,451,604,771,199,137,117,281,827,1430,442,302,57,26,661,485,256,28
15001020600,206,5391,Hawaii County,2148,523,16,292,355,470,516,294,146,13,46,1258,367,799,287,139,33,104,101,135,27
15001020701,207.01,4507,Hawaii County,1870,139,13,109,184,303,209,328,308,306,110,1188,543,615,498,75,0,280,27,160,76
15001020702,207.02,4861,Hawaii County,1815,75,0,43,172,634,615,260,48,22,21,1574,166,596,824,124,30,52,19,69,26
15001020801,208.01,4310,Hawaii County,1548,124,2,188,156,260,694,52,87,49,60,1114,310,460,490,148,16,73,42,84,111
15001020802,208.02,6196,Hawaii County,2491,329,0,341,190,328,459,334,248,340,251,1775,387,667,773,278,57,96,41,178,72
15001020900,209,4729,Hawaii County,1719,53,0,169,361,372,461,125,91,89,51,1243,423,398,607,224,14,103,60,178,82
15001021003,210.03,6391,Hawaii County,2306,275,0,663,590,619,411,0,13,0,10,1455,576,1154,181,105,15,196,149,231,0
15001021005,210.05,11012,Hawaii County,3937,549,27,1122,1254,943,471,45,18,0,57,2059,1329,1434,513,112,0,484,221,477,147
15001021010,210.1,7884,Hawaii County,3280,823,15,968,898,713,461,52,40,43,90,1736,721,1438,240,58,0,373,75,227,46
15001021011,210.11,4009,Hawaii County,1799,517,0,322,383,444,366,40,19,22,203,885,397,552,223,99,11,275,13,109,0
15001021013,210.13,4970,Hawaii County,1693,162,0,188,387,325,182,106,144,90,271,1013,518,556,298,159,0,317,65,105,31
15001021101,211.01,3531,Hawaii County,1843,502,6,553,413,346,289,66,139,24,7,997,344,751,169,64,13,185,23,79,57
15001021106,211.06,7529,Hawaii County,3242,737,10,825,527,649,910,160,76,35,50,1697,808,1442,242,7,6,310,161,265,72
15001021202,212.02,8451,Hawaii County,3964,1206,0,940,1131,621,417,150,170,255,280,1977,781,1590,352,22,13,538,72,161,10
15001021300,213,5972,Hawaii County,2780,650,10,328,592,716,406,158,235,122,213,1363,767,425,412,413,113,287,104,183,193
15001021402,214.02,4025,Hawaii County,1530,148,0,127,135,335,395,175,154,53,156,735,647,152,271,262,50,309,67,116,155
15001021502,215.02,4844,Hawaii County,2141,436,0,283,503,528,386,66,109,74,192,1051,654,130,98,493,330,168,137,176,173
15001021504,215.04,3965,Hawaii County,1420,91,17,175,347,191,569,106,14,1,0,627,702,310,208,109,0,234,159,262,47
15001021507,215.07,8503,Hawaii County,3815,851,0,965,653,907,995,188,64,35,8,2281,683,247,1049,796,189,133,44,117,389
15001021509,215.09,5154,Hawaii County,3796,1550,0,643,389,982,1233,217,194,117,21,1337,909,314,369,484,170,226,97,233,353
15001021601,216.01,7822,Hawaii County,4316,1287,0,702,726,772,1482,465,95,42,32,1639,1390,548,441,548,102,341,401,510,138
15001021604,216.04,7587,Hawaii County,4533,1203,0,1099,798,736,1350,436,48,66,0,1902,1428,443,611,618,230,112,233,439,644
15001021702,217.02,9540,Hawaii County,3658,462,48,574,907,872,444,399,124,141,149,2024,1172,470,775,624,155,418,103,195,456
15001021704,217.04,8087,Hawaii County,6061,3003,13,2752,1296,1395,373,157,47,24,4,2133,925,315,1126,519,173,173,34,201,517
15001021800,218,6322,Hawaii County,2423,558,18,373,576,378,303,114,98,230,333,1377,488,331,649,280,117,126,126,132,104
15001021902,219.02,3925,Hawaii County,1480,185,0,124,140,194,261,121,232,191,217,907,388,221,363,287,36,147,59,150,32
15001022000,220,2588,Hawaii County,975,110,0,123,251,101,74,90,7,101,228,592,273,178,197,147,70,145,46,69,13
15001022102,221.02,2041,Hawaii County,832,181,9,73,162,134,81,78,36,97,162,535,116,259,127,146,3,35,58,16,7
15003000106,1.06,7704,Honolulu County,3414,301,0,586,485,458,1458,341,59,0,27,2172,941,67,676,1139,290,46,40,63,792
15003000107,1.07,2818,Honolulu County,966,65,0,0,10,200,614,130,12,0,0,812,89,17,197,457,141,8,0,5,76
15003000108,1.08,3264,Honolulu County,1330,130,0,61,242,127,382,475,36,0,7,953,247,37,57,744,115,29,0,11,207
15003000110,1.1,4288,Honolulu County,1520,23,0,156,129,436,756,31,0,0,12,1272,225,51,46,1072,103,43,0,26,156
15003000111,1.11,5035,Honolulu County,1525,29,0,79,169,264,596,403,14,0,0,1298,198,10,53,1025,210,37,0,24,137
15003000112,1.12,5555,Honolulu County,2131,239,0,698,88,50,394,816,79,0,6,1587,305,52,108,1309,118,0,0,32,273
15003000114,1.14,1594,Honolulu County,633,44,0,17,47,5,206,262,41,28,27,483,106,9,24,113,337,8,17,27,54
15003000200,2,5742,Honolulu County,1945,73,0,79,138,283,487,355,399,143,61,1478,394,20,103,1105,250,88,8,138,160
15003000301,3.01,3307,Honolulu County,1169,89,0,59,211,209,78,28,498,74,12,880,200,8,26,452,394,56,0,44,100
15003000302,3.02,2990,Honolulu County,1079,79,0,56,62,28,48,109,576,171,29,832,168,59,9,528,236,69,0,32,67
15003000401,4.01,2893,Honolulu County,1020,16,0,3,39,55,250,237,387,43,6,861,143,24,9,653,175,19,11,19,94
15003000402,4.02,3999,Honolulu County,1430,60,0,175,153,168,472,413,49,0,0,1311,59,9,16,376,910,15,0,0,44
15003000500,5,3807,Honolulu County,1689,384,0,187,126,153,68,330,668,67,90,1042,263,37,38,195,772,47,0,23,193
15003000600,6,1218,Honolulu County,540,88,0,6,24,16,40,278,146,30,0,344,108,12,0,33,299,53,0,0,55
15003000700,7,2966,Honolulu County,1021,91,8,51,34,25,164,146,432,92,69,687,243,25,38,550,74,61,20,17,145
15003000800,8,3771,Honolulu County,1344,25,0,100,73,103,209,202,167,190,300,842,477,7,91,624,120,98,99,46,234
15003000901,9.01,2736,Honolulu County,1239,44,0,358,30,29,141,630,39,4,8,644,551,11,279,288,66,70,0,68,413
15003000902,9.02,4088,Honolulu County,1551,70,0,34,45,77,101,218,403,408,265,1006,475,38,60,558,350,109,17,62,287
15003000903,9.03,2858,Honolulu County,1098,51,0,102,110,69,87,162,155,134,279,593,454,42,59,375,117,132,21,66,235
15003001000,10,3096,Honolulu County,1134,53,0,30,112,115,177,140,418,129,13,864,217,48,143,627,46,30,23,37,127
15003001100,11,3862,Honolulu County,1220,51,0,39,138,84,128,162,362,280,27,505,664,61,114,320,10,319,125,87,133
15003001201,12.01,2924,Honolulu County,1120,63,0,38,123,215,121,144,241,118,120,563,494,26,80,389,68,104,55,223,112
15003001202,12.02,3030,Honolulu County,1079,124,9,80,54,26,143,83,320,306,58,688,267,21,130,491,46,43,35,109,80
15003001300,13,4207,Honolulu County,1661,66,0,20,207,158,213,233,304,217,309,818,777,44,126,587,61,119,211,204,243
15003001400,14,2550,Honolulu County,819,41,4,61,63,63,55,146,117,133,177,560,218,14,46,410,90,49,12,40,117
15003001500,15,3527,Honolulu County,1313,69,0,84,35,94,131,286,200,149,334,760,484,39,59,622,40,107,64,102,211
15003001600,16,3783,Honolulu County,1440,129,69,110,117,29,243,198,195,283,196,765,546,62,112,518,73,129,61,157,199
15003001700,17,2437,Honolulu County,1713,449,0,26,34,0,202,655,674,47,75,664,600,57,150,152,305,81,53,86,380
15003001801,18.01,1717,Honolulu County,1356,483,0,0,0,187,411,533,144,43,38,190,683,34,92,53,11,138,93,268,184
15003001803,18.03,3360,Honolulu County,2226,465,0,120,10,94,931,875,149,8,39,491,1270,155,296,40,0,149,246,421,454
