Tract,County,Total_units,Occupied,Vacant,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
1.06,Honolulu County,3414,3113,301,2172,907,67,676,1139,290,46,40,63,792
1.07,Honolulu County,966,901,65,812,81,17,197,457,141,8,0,5,76
1.08,Honolulu County,1330,1200,130,953,218,37,57,744,115,29,0,11,207
1.1,Honolulu County,1520,1497,23,1272,182,51,46,1072,103,43,0,26,156
1.11,Honolulu County,1525,1496,29,1298,161,10,53,1025,210,37,0,24,137
1.12,Honolulu County,2131,1892,239,1587,305,52,108,1309,118,0,0,32,273
1.14,Honolulu County,633,589,44,483,98,9,24,113,337,8,17,27,54
10,Honolulu County,1134,1081,53,864,204,48,143,627,46,30,23,37,127
100,Honolulu County,1425,1150,275,228,741,0,37,121,70,210,0,47,665
101,Honolulu County,2952,2363,589,1433,844,159,223,587,464,232,89,180,429
102.01,Honolulu County,1985,1611,374,842,676,92,212,435,103,141,115,212,301
102.02,Honolulu County,1497,1209,288,602,520,55,130,343,74,156,55,87,309
103.03,Honolulu County,1454,1385,69,938,408,79,150,567,142,99,20,133,195
103.05,Honolulu County,1551,1525,26,1124,401,34,174,776,140,55,24,141,181
103.06,Honolulu County,2214,2182,32,1692,490,95,576,880,141,0,62,0,428
103.08,Honolulu County,1041,1036,5,969,57,80,119,732,38,10,4,0,53
105.03,Honolulu County,566,526,40,258,268,6,46,194,12,25,0,161,82
105.04,Honolulu County,1481,1465,16,926,510,76,136,707,7,254,30,64,191
105.05,Honolulu County,1099,1099,0,963,90,63,95,714,91,46,0,17,73
105.07,Honolulu County,1941,1862,79,1031,831,156,432,443,0,130,133,88,480
105.08,Honolulu County,1043,991,52,645,300,9,271,282,83,46,0,13,287
106.01,Honolulu County,1074,1045,29,748,270,33,54,661,0,174,30,27,66
106.02,Honolulu County,1718,1718,0,1218,415,73,95,964,86,91,21,90,298
107.01,Honolulu County,1419,1402,17,1154,222,72,170,653,259,37,30,29,152
107.02,Honolulu County,1271,1192,79,793,363,23,36,701,33,76,0,81,242
108.01,Honolulu County,655,599,56,0,591,0,0,0,0,13,7,23,556
108.02,Honolulu County,1633,1516,117,12,1436,0,0,12,0,68,0,64,1372
109.01,Honolulu County,1036,1012,24,849,144,6,57,645,141,32,9,10,112
109.03,Honolulu County,1424,1415,9,806,549,44,91,634,37,134,74,225,176
109.04,Honolulu County,1110,1065,45,781,263,83,37,597,64,21,10,45,208
109.05,Honolulu County,904,862,42,519,322,21,54,390,54,88,67,48,140
11,Honolulu County,1220,1169,51,505,637,61,114,320,10,319,125,87,133
110,Honolulu County,1173,1166,7,974,186,44,14,769,147,6,0,4,182
111.03,Honolulu County,1228,1182,46,962,220,20,49,805,88,0,10,11,199
111.04,Honolulu County,1558,1463,95,1267,172,59,72,1014,122,24,0,0,172
111.05,Honolulu County,1484,1484,0,874,596,134,283,265,192,14,0,59,537
111.06,Honolulu County,1941,1920,21,1654,222,28,76,1327,223,44,0,0,222
112.01,Honolulu County,1752,1537,215,1181,341,41,7,349,784,15,32,78,231
112.02,Honolulu County,708,631,77,429,163,5,48,17,359,42,0,56,104
113,Honolulu County,1332,1273,59,750,500,102,338,259,51,111,82,217,113
114,Honolulu County,688,680,8,16,664,0,0,16,0,7,0,35,622
115,Honolulu County,1484,1392,92,1039,353,141,451,431,16,17,0,62,274
12.01,Honolulu County,1120,1057,63,563,455,26,80,389,68,104,55,223,112
12.02,Honolulu County,1079,955,124,688,247,21,130,491,46,43,35,109,80
13,Honolulu County,1661,1595,66,818,733,44,126,587,61,119,211,204,243
14,Honolulu County,819,778,41,560,187,14,46,410,90,49,12,40,117
15,Honolulu County,1313,1244,69,760,435,39,59,622,40,107,64,102,211
16,Honolulu County,1440,1311,129,765,462,62,112,518,73,129,61,157,199
17,Honolulu County,1713,1264,449,664,528,57,150,152,305,81,53,86,380
18.01,Honolulu County,1356,873,483,190,675,34,92,53,11,138,93,268,184
18.03,Honolulu County,2226,1761,465,491,1262,155,296,40,0,149,246,421,454
18.04,Honolulu County,1677,1061,616,368,635,49,244,75,0,85,25,283,300
19.01,Honolulu County,1652,345,1307,133,212,44,18,38,33,16,15,96,85
19.03,Honolulu County,2098,1578,520,634,888,123,257,246,8,56,57,246,585
19.04,Honolulu County,3068,2260,808,1046,1126,334,563,124,25,130,139,410,535
2,Honolulu County,1945,1872,73,1478,306,20,103,1105,250,88,8,138,160
20.03,Honolulu County,2238,1351,887,414,920,175,204,35,0,77,48,581,231
20.04,Honolulu County,1051,873,178,275,585,123,128,24,0,13,61,324,200
20.05,Honolulu County,1633,1225,408,334,891,32,217,67,18,32,242,405,212
20.06,Honolulu County,2108,1444,664,559,816,135,349,52,23,130,54,389,312
201,Hawaii County,2078,1826,252,1208,552,594,312,228,74,331,26,215,46
202.02,Hawaii County,717,679,38,503,127,188,183,118,14,67,38,33,38
203,Hawaii County,2026,1709,317,527,1120,303,162,62,0,641,316,142,83
204,Hawaii County,1563,1399,164,503,841,325,104,59,15,400,203,248,45
205,Hawaii County,2612,2257,355,827,1360,442,302,57,26,661,485,256,28
206,Hawaii County,2148,1625,523,1258,329,799,287,139,33,104,101,135,27
207.01,Hawaii County,1870,1731,139,1188,398,615,498,75,0,280,27,160,76
207.02,Hawaii County,1815,1740,75,1574,132,596,824,124,30,52,19,69,26
208.01,Hawaii County,1548,1424,124,1114,247,460,490,148,16,73,42,84,111
208.02,Hawaii County,2491,2162,329,1775,304,667,773,278,57,96,41,178,72
209,Hawaii County,1719,1666,53,1243,331,398,607,224,14,103,60,178,82
21,Honolulu County,1827,1684,143,401,1220,193,134,74,0,141,328,605,209
210.03,Hawaii County,2306,2031,275,1455,473,1154,181,105,15,196,149,231,0
210.05,Hawaii County,3937,3388,549,2059,955,1434,513,112,0,484,221,477,147
210.1,Hawaii County,3280,2457,823,1736,528,1438,240,58,0,373,75,227,46
210.11,Hawaii County,1799,1282,517,885,246,552,223,99,11,275,13,109,0
210.13,Hawaii County,1693,1531,162,1013,423,556,298,159,0,317,65,105,31
211.01,Hawaii County,1843,1341,502,997,273,751,169,64,13,185,23,79,57
211.06,Hawaii County,3242,2505,737,1697,675,1442,242,7,6,310,161,265,72
212.02,Hawaii County,3964,2758,1206,1977,580,1590,352,22,13,538,72,161,10
213,Hawaii County,2780,2130,650,1363,635,425,412,413,113,287,104,183,193
214.02,Hawaii County,1530,1382,148,735,603,152,271,262,50,309,67,116,155
215.02,Hawaii County,2141,1705,436,1051,555,130,98,493,330,168,137,176,173
215.04,Hawaii County,1420,1329,91,627,686,310,208,109,0,234,159,262,47
