Tract,County,Total_units,Occupied,Vacant,Owner_occupied,VALUE_Less50k,VALUE_50_99k,VALUE_100_149k,VALUE_150_199k,VALUE_200_299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,VALUE_Median,rent_units,RENT_less200,RENT_200_299,RENT_300_499,RENT_500_749,RENT_750_999,RENT_1k_1499,RENT_1k5up,RENT_Median,RENT_0
1.06,Honolulu County,3414,3113,301,2172,0,52,0,10,5,676,1139,290,611200,907,0,0,0,12,40,63,792,"2,000",34
1.07,Honolulu County,966,901,65,812,0,0,8,0,9,197,457,141,771600,81,0,0,0,0,0,5,76,"2,000",8
1.08,Honolulu County,1330,1200,130,953,0,23,5,9,0,57,744,115,733800,218,0,0,0,0,0,11,207,"2,000",29
1.1,Honolulu County,1520,1497,23,1272,0,26,13,0,12,46,1072,103,711500,182,0,0,0,0,0,26,156,"2,000",43
1.11,Honolulu County,1525,1496,29,1298,0,0,0,0,10,53,1025,210,751100,161,0,0,0,0,0,24,137,"2,000",37
1.12,Honolulu County,2131,1892,239,1587,0,0,10,26,16,108,1309,118,659200,305,0,0,0,0,0,32,273,"2,000",0
1.14,Honolulu County,633,589,44,483,0,0,0,9,0,24,113,337,"1,000,000",98,0,0,0,0,17,27,54,"2,000",8
10,Honolulu County,1134,1081,53,864,0,24,0,0,24,143,627,46,609300,204,0,0,9,8,23,37,127,1676,13
100,Honolulu County,1425,1150,275,228,0,0,0,0,0,37,121,70,685100,741,0,7,0,22,0,47,665,"2,000",181
101,Honolulu County,2952,2363,589,1433,15,9,1,2,132,223,587,464,830300,844,8,50,54,34,89,180,429,1517,86
102.01,Honolulu County,1985,1611,374,842,0,5,5,20,62,212,435,103,611600,676,0,10,0,38,115,212,301,1380,93
102.02,Honolulu County,1497,1209,288,602,6,6,6,18,19,130,343,74,638100,520,0,0,25,44,55,87,309,1625,87
103.03,Honolulu County,1454,1385,69,938,0,14,5,7,53,150,567,142,657100,408,5,2,23,30,20,133,195,1473,39
103.05,Honolulu County,1551,1525,26,1124,12,12,0,0,10,174,776,140,634700,401,12,0,21,22,24,141,181,1447,0
103.06,Honolulu County,2214,2182,32,1692,0,27,0,41,27,576,880,141,571800,490,0,0,0,0,62,0,428,"2,000",0
103.08,Honolulu County,1041,1036,5,969,0,32,0,22,26,119,732,38,613500,57,0,0,0,0,4,0,53,"2,000",10
105.03,Honolulu County,566,526,40,258,0,6,0,0,0,46,194,12,625800,268,9,0,0,16,0,161,82,1322,0
105.04,Honolulu County,1481,1465,16,926,0,36,20,3,17,136,707,7,614900,510,0,0,8,217,30,64,191,1125,29
105.05,Honolulu County,1099,1099,0,963,0,31,14,0,18,95,714,91,672100,90,0,0,0,0,0,17,73,"2,000",46
105.07,Honolulu County,1941,1862,79,1031,0,7,0,0,149,432,443,0,430300,831,0,0,55,75,133,88,480,1640,0
105.08,Honolulu County,1043,991,52,645,0,0,0,0,9,271,282,83,545200,300,0,0,0,0,0,13,287,"2,000",46
106.01,Honolulu County,1074,1045,29,748,5,0,22,0,6,54,661,0,633400,270,9,17,34,87,30,27,66,704,27
106.02,Honolulu County,1718,1718,0,1218,0,0,2,0,71,95,964,86,657500,415,0,0,6,0,21,90,298,1854,85
107.01,Honolulu County,1419,1402,17,1154,0,33,18,9,12,170,653,259,704300,222,0,0,0,11,30,29,152,1815,26
107.02,Honolulu County,1271,1192,79,793,0,0,0,11,12,36,701,33,645700,363,0,0,40,0,0,81,242,1848,36
108.01,Honolulu County,655,599,56,0,0,0,0,0,0,0,0,0,0,591,0,0,0,5,7,23,556,"2,000",8
108.02,Honolulu County,1633,1516,117,12,0,0,0,0,0,0,12,0,0,1436,0,0,0,0,0,64,1372,"2,000",68
109.01,Honolulu County,1036,1012,24,849,0,0,0,0,6,57,645,141,823700,144,0,0,13,0,9,10,112,"2,000",19
109.03,Honolulu County,1424,1415,9,806,0,0,16,9,19,91,634,37,643200,549,0,11,29,34,74,225,176,1184,60
109.04,Honolulu County,1110,1065,45,781,0,77,6,0,0,37,597,64,710000,263,0,0,0,0,10,45,208,"2,000",21
109.05,Honolulu County,904,862,42,519,0,11,0,0,10,54,390,54,681600,322,0,10,28,29,67,48,140,1182,21
11,Honolulu County,1220,1169,51,505,11,25,0,10,15,114,320,10,565500,637,28,49,98,117,125,87,133,847,27
110,Honolulu County,1173,1166,7,974,0,9,3,32,0,14,769,147,816800,186,0,0,0,0,0,4,182,"2,000",6
111.03,Honolulu County,1228,1182,46,962,0,11,0,9,0,49,805,88,728400,220,0,0,0,0,10,11,199,"2,000",0
111.04,Honolulu County,1558,1463,95,1267,0,33,18,0,8,72,1014,122,796400,172,0,0,0,0,0,0,172,"2,000",24
111.05,Honolulu County,1484,1484,0,874,11,55,0,12,56,283,265,192,531300,596,0,0,0,0,0,59,537,1994,14
111.06,Honolulu County,1941,1920,21,1654,13,15,0,0,0,76,1327,223,783400,222,0,0,0,0,0,0,222,"2,000",44
112.01,Honolulu County,1752,1537,215,1181,10,31,0,0,0,7,349,784,"1,000,000",341,0,0,0,0,32,78,231,"2,000",15
112.02,Honolulu County,708,631,77,429,0,0,0,5,0,48,17,359,"1,000,000",163,0,0,0,3,0,56,104,1654,39
113,Honolulu County,1332,1273,59,750,14,5,0,7,76,338,259,51,457500,500,0,19,49,20,82,217,113,1180,23
114,Honolulu County,688,680,8,16,0,0,0,0,0,0,16,0,777800,664,0,0,7,0,0,35,622,"2,000",0
115,Honolulu County,1484,1392,92,1039,20,0,0,34,87,451,431,16,469000,353,0,0,0,17,0,62,274,"2,000",0
12.01,Honolulu County,1120,1057,63,563,10,0,7,0,9,80,389,68,697600,455,0,0,9,56,55,223,112,1180,39
12.02,Honolulu County,1079,955,124,688,0,10,0,11,0,130,491,46,637100,247,0,11,0,12,35,109,80,1388,20
13,Honolulu County,1661,1595,66,818,19,0,9,0,16,126,587,61,645400,733,0,0,35,40,211,204,243,1169,44
14,Honolulu County,819,778,41,560,0,9,0,0,5,46,410,90,764900,187,0,0,0,18,12,40,117,1735,31
15,Honolulu County,1313,1244,69,760,0,7,0,11,21,59,622,40,672800,435,0,0,8,50,64,102,211,1456,49
16,Honolulu County,1440,1311,129,765,0,18,32,0,12,112,518,73,674900,462,0,0,22,23,61,157,199,1375,84
17,Honolulu County,1713,1264,449,664,6,16,35,0,0,150,152,305,735000,528,0,0,0,9,53,86,380,1770,72
18.01,Honolulu County,1356,873,483,190,0,0,0,20,14,92,53,11,406100,675,0,41,0,89,93,268,184,1147,8
18.03,Honolulu County,2226,1761,465,491,0,7,6,26,116,296,40,0,351700,1262,33,0,0,108,246,421,454,1258,8
18.04,Honolulu County,1677,1061,616,368,10,0,0,0,39,244,75,0,366500,635,0,27,0,0,25,283,300,1375,58
19.01,Honolulu County,1652,345,1307,133,0,0,11,0,33,18,38,33,543300,212,0,0,0,16,15,96,85,1408,0
19.03,Honolulu County,2098,1578,520,634,30,32,19,0,42,257,246,8,462500,888,0,0,0,0,57,246,585,1671,56
19.04,Honolulu County,3068,2260,808,1046,31,63,93,25,122,563,124,25,347600,1126,0,42,0,0,139,410,535,1477,88
2,Honolulu County,1945,1872,73,1478,0,8,0,0,12,103,1105,250,771900,306,0,0,0,0,8,138,160,1590,88
20.03,Honolulu County,2238,1351,887,414,0,0,7,30,138,204,35,0,318600,920,0,0,0,60,48,581,231,1367,17
20.04,Honolulu County,1051,873,178,275,0,0,0,0,123,128,24,0,323800,585,0,0,0,0,61,324,200,1357,13
20.05,Honolulu County,1633,1225,408,334,0,19,0,13,0,217,67,18,421200,891,0,0,10,22,242,405,212,1171,0
20.06,Honolulu County,2108,1444,664,559,18,0,0,6,111,349,52,23,384500,816,0,0,0,61,54,389,312,1380,69
