date,level
1976,372266.6667
1977,386129.1667
1978,394316.6667
1979,406450
1980,419754.1667
1981,428520.8333
1982,432475
1983,444012.5
1984,451379.1667
1985,459412.5
1986,473495.8333
1987,492725
1988,503770.8333
1989,515233.3333
1990,537625
1991,547350
1992,551562.5
1993,556337.5
1994,555745.8333
1995,557045.8333
1996,561691.6667
1997,566766.6667
1998,570150
1999,576308.3333
2000,584858
2001,589216
2002,584354
2003,592469
2004,598175
2005,609835
2006,617807
2007,620107
2008,617496
2009,593299
2010,603651
2011,614030
2012,612066
2013,617874
