date,level
1964,7603.257
1965,8270.742
1966,8756.833
1967,9069.543
1968,9830.718
1969,10777.16
1970,11582.71
1971,11956
1972,12585.2
1973,13609.44
1974,13821.53
1975,14495.63
1976,14379.7
1977,15095.42
1978,15654.7
1979,16013
1980,16067.06
1981,15764.44
1982,15835.43
1983,16958.17
1984,17930.9
1985,18703.06
1986,19699.36
1987,20296.78
1988,21135.93
1989,22076.12
1990,23089.4
1991,22696.18
1992,22690.3
1993,22441.6
1994,22033.42
1995,21749.63
1996,21645.1
1997,22172.72
1998,21927.7
1999,22630.3
2000,23453.21
2001,23993.83
2002,25080.17
2003,26330.17
2004,27984.78
2005,29359.96
2006,29428.23
2007,29517.91
2008,29023.36
2009,28291.49
2010,28647.88
2011,28632.47
2012,29065.9
2013,29628.94
