date,level
1964,6487.221
1965,7005.63
1966,7384.49
1967,7797.268
1968,8437.22
1969,9251.29
1970,10201.69
1971,10627.42
1972,11331.36
1973,12005.14
1974,12347.71
1975,12328.81
1976,12621.38
1977,13003.24
1978,13397.08
1979,13517.59
1980,13804.02
1981,13510.3
1982,13448.17
1983,14517.02
1984,14933.82
1985,15396.77
1986,15968.77
1987,16206.61
1988,16800.21
1989,17751.15
1990,18039.07
1991,17815.88
1992,18315.42
1993,18403.49
1994,18299.53
1995,18294.29
1996,18018.6
1997,18477.77
1998,18815.35
1999,19185.14
2000,19911.29
2001,20365.96
2002,21038.87
2003,21579.77
2004,22604.29
2005,23321.88
2006,23695.97
2007,24001.38
2008,24129.54
2009,24197.71
2010,24195.29
2011,24667.31
2012,24984.36
2013,25243.1
