Forecast,yeardiff,qdiff,qnum,Year,Forecast Year,Forecast Quarter,Visitors,US Visitors,JP Visitors,Payroll Jobs,Employment,Unemployment Rate,Inflation,Real Personal Income,Other Visitors,Real GDP
14Q3,2,7,3,2012,2014,Q3,9.656,5.207,18.026,2.173,-0.32,5.692,2.402,1.285,17.556,1.514
14Q3,1,3,3,2013,2014,Q3,1.733,0.714,3.607,1.871,0.949,4.775,1.784,1.036,3.193,1.937
14Q3,0,-1,3,2014,2014,Q3,1.032,0.029,-1.397,1.276,2.607,4.364,1.81,2.751,6.513,2.479
14Q3,-1,-5,3,2015,2014,Q3,2.2,2.102,0.672,1.501,1.905,4.052,2.866,3.075,3.855,3.259
14Q3,-2,-9,3,2016,2014,Q3,1.204,1.622,-0.131,1.446,1.32,3.824,3.867,2.308,1.152,2.777
14Q3,-3,-13,3,2017,2014,Q3,1.013,1.076,0.638,1.31,1.246,3.681,4.484,1.761,1.15,2.267
14Q3,-4,-17,3,2018,2014,Q3,0.842,0.799,0.795,0.868,0.821,3.715,3.499,1.369,1.005,1.946
14Q3,-5,-21,3,2019,2014,Q3,0.795,0.788,0.718,0.439,0.399,3.93,1.96,1.142,0.879,1.787
14Q2,3,10,2,2011,2014,Q2,3.723,2.253,0.202,1.105,1.719,6.475,3.727,1.951,13.375,0.322
14Q2,2,6,2,2012,2014,Q2,9.656,5.207,18.026,2.173,-0.32,5.692,2.402,1.285,17.556,1.027
14Q2,1,2,2,2013,2014,Q2,2.506,0.812,3.933,1.871,0.949,4.775,1.784,1.036,6.558,2.708
14Q2,0,-2,2,2014,2014,Q2,0.959,0.563,0.347,1.381,1.535,4.501,1.706,2.467,2.734,2.507
14Q2,-1,-6,2,2015,2014,Q2,1.561,1.778,-1.191,1.708,1.782,4.149,3.079,3.314,3.439,3.172
14Q2,-2,-10,2,2016,2014,Q2,1.188,1.195,0.908,1.601,1.576,3.865,4.344,2.513,1.412,3.143
14Q2,-3,-14,2,2017,2014,Q2,0.966,1.01,0.317,1.34,1.342,3.703,4.749,1.861,1.403,2.313
14Q2,-4,-18,2,2018,2014,Q2,0.873,1.033,-0.038,0.863,0.886,3.733,3.578,1.42,1.195,2.188
14Q1,3,9,1,2011,2014,Q1,3.723,2.253,0.202,1.203,1.81,6.533,3.727,1.951,13.375,0.322
14Q1,2,5,1,2012,2014,Q1,9.656,5.207,18.026,2.215,-0.187,5.825,2.402,1.285,17.556,1.027
14Q1,1,1,1,2013,2014,Q1,2.506,0.812,3.933,1.736,0.723,4.683,1.908,1.226,6.558,2.579
14Q1,0,-3,1,2014,2014,Q1,0.653,0.003,-0.143,1.848,2.329,4.214,1.843,2.941,3.372,2.902
14Q1,-1,-7,1,2015,2014,Q1,1.097,0.44,0.804,1.73,1.855,3.907,2.555,3.008,3.291,3.932
14Q1,-2,-11,1,2016,2014,Q1,1.568,1.821,1.03,1.584,1.545,3.684,3.487,2.28,1.324,3.217
